TransactionID,AccountID,TransactionDate,TransactionType,TransactionChannel,ProductID,Status,Suspicious_Flag,True_Amount
1,162,2/24/2023,Credit,Web,1019,Success,0,10000.0
2,154,8/31/2022,Credit,Web,1001,Success,0,10000.0
3,179,1/3/2020,Debit,Web,1024,Success,0,4883.8
4,138,11/29/2023,Credit,ATM,1021,Success,1,3911.93
5,159,2/18/2024,Credit,Mobile,1001,Success,1,2211.72
6,173,3/30/2021,Debit,Mobile,1002,Success,0,3196.44
7,42,12/16/2025,Debit,Mobile,1006,Success,0,2747.13
8,66,8/21/2024,Credit,Mobile,1017,Success,0,7894.0
9,43,5/24/2021,Debit,Web,1003,Success,0,3875.56
10,162,3/29/2021,Debit,Mobile,1005,Success,0,3069.44
11,85,12/6/2024,Debit,Web,1005,Success,0,808.41
12,172,1/5/2020,Debit,Mobile,1005,Success,0,648.95
13,164,11/13/2021,Credit,Mobile,1019,Success,1,1008.37
14,87,8/9/2020,Debit,ATM,1010,Success,0,2672.74
15,102,6/13/2024,Credit,Mobile,1015,Success,1,1025.75
16,51,12/17/2022,Debit,Mobile,1008,Success,0,4492.9
17,139,11/8/2024,Credit,Mobile,1012,Success,1,4624.55
18,21,6/28/2020,Debit,Mobile,1004,Success,0,3562.21
19,122,9/8/2020,Debit,Web,1016,Success,0,2393.05
20,64,3/2/2024,Debit,Mobile,1005,Success,0,39.59
21,171,10/9/2025,Debit,Web,1004,Success,0,3723.91
22,6,6/20/2023,Debit,Mobile,1020,Success,0,779.79
23,20,12/15/2023,Debit,ATM,1003,Success,0,189.2
24,158,7/31/2022,Debit,Web,1005,Success,0,51.61
25,99,10/3/2023,Debit,ATM,1014,Success,0,45.09
26,72,7/20/2024,Debit,Mobile,1023,Success,0,1522.32
27,8,5/3/2023,Debit,ATM,1009,Success,0,3523.65
28,101,11/17/2025,Debit,Mobile,1000,Success,0,2003.65
29,168,12/17/2020,Debit,Web,1004,Success,0,1069.31
30,158,7/5/2025,Debit,Web,1022,Success,0,1998.83
31,43,11/26/2024,Credit,Mobile,1025,Success,1,3764.04
32,112,3/6/2022,Debit,Web,1001,Success,0,3173.16
33,73,9/14/2024,Debit,Mobile,1012,Success,0,930.52
34,117,4/21/2024,Debit,Web,1025,Success,0,4145.96
35,56,1/27/2022,Debit,ATM,1021,Success,0,3818.75
36,84,2/14/2024,Debit,ATM,1010,Success,0,4730.24
37,100,7/21/2025,Debit,Mobile,1003,Success,0,351.82
38,83,8/5/2025,Debit,Web,1004,Success,0,1428.9
39,120,6/6/2022,Debit,Mobile,1022,Success,0,3484.66
40,33,6/2/2023,Debit,Mobile,1006,Success,0,2230.46
42,179,3/13/2024,Credit,Web,1016,Success,1,2202.84
43,106,6/6/2022,Credit,Web,1017,Success,1,492.28
44,33,9/27/2021,Credit,Mobile,1006,Success,1,1198.99
45,90,4/21/2021,Debit,Web,1000,Success,0,4234.24
46,113,6/12/2024,Debit,Web,1013,Success,0,519.89
47,99,6/30/2021,Debit,Web,1023,Success,0,1405.27
48,55,1/21/2024,Debit,Mobile,1011,Success,0,1611.23
49,94,5/12/2023,Credit,Web,1000,Success,1,4746.24
50,32,12/21/2022,Debit,Web,1017,Success,0,846.9
51,192,8/26/2024,Credit,Mobile,1018,Success,1,1549.55
52,52,4/27/2022,Credit,Web,1020,Success,1,749.18
53,146,12/27/2022,Credit,Mobile,1010,Success,1,4398.52
54,84,12/8/2023,Debit,ATM,1009,Success,0,468.65
55,49,2/6/2024,Credit,Web,1008,Success,1,1220.25
56,147,1/13/2022,Debit,Mobile,1013,Success,0,3906.79
57,151,4/12/2020,Credit,ATM,1016,Success,1,881.35
58,126,1/20/2024,Debit,Mobile,1026,Success,0,4386.04
59,93,8/10/2023,Credit,Mobile,1014,Success,1,4583.78
60,178,12/4/2023,Debit,ATM,1001,Success,0,2255.88
61,42,7/29/2023,Credit,ATM,1016,Success,1,1019.28
62,11,8/24/2022,Debit,Mobile,1006,Success,0,4891.44
63,138,3/22/2020,Credit,Mobile,1012,Success,1,752.1
64,72,6/5/2023,Debit,ATM,1006,Success,0,218.03
65,29,11/8/2023,Credit,ATM,1025,Success,1,1420.19
66,101,2/27/2022,Credit,Web,1017,Success,1,1785.05
67,110,4/11/2023,Debit,Web,1022,Success,0,1869.01
68,41,6/4/2025,Debit,Mobile,1021,Success,0,3459.21
69,161,10/21/2023,Debit,ATM,1002,Success,0,4317.65
70,146,6/8/2025,Debit,Mobile,1014,Success,0,995.43
71,52,11/3/2022,Debit,Mobile,1013,Success,0,604.01
72,85,5/11/2020,Credit,Mobile,1002,Success,1,3008.22
73,107,11/19/2022,Credit,Web,1007,Success,1,1645.47
74,22,3/2/2021,Debit,Mobile,1005,Success,0,1606.84
75,80,3/12/2020,Debit,Mobile,1005,Success,0,4595.32
76,172,12/26/2024,Debit,ATM,1026,Success,0,4111.95
77,33,8/27/2022,Credit,Web,1000,Success,1,500.29
78,76,8/4/2025,Debit,Mobile,1005,Success,0,4084.94
79,110,2/21/2020,Credit,Web,1010,Success,1,2101.53
80,130,4/7/2024,Debit,Web,1021,Success,0,1306.22
81,165,12/22/2023,Debit,Mobile,1021,Success,0,400.5
82,130,3/15/2021,Debit,Mobile,1012,Success,0,4720.29
83,10,10/29/2025,Debit,Web,1014,Success,0,3192.86
84,50,6/30/2020,Credit,ATM,1016,Success,1,4313.93
85,33,5/30/2025,Debit,Mobile,1022,Success,0,2961.76
86,191,4/24/2025,Credit,Web,1000,Success,1,1703.09
87,53,3/18/2020,Credit,Mobile,1016,Success,1,3240.55
88,102,8/10/2024,Credit,ATM,1018,Success,1,4288.35
89,120,10/20/2022,Credit,Mobile,1018,Success,1,4671.63
90,62,6/27/2021,Debit,Mobile,1024,Success,0,2555.79
91,170,6/27/2024,Debit,Mobile,1007,Success,0,2364.54
92,123,7/4/2024,Debit,Mobile,1010,Success,0,1893.35
93,133,8/5/2021,Debit,ATM,1008,Success,0,1931.99
94,185,6/29/2024,Credit,Web,1009,Success,1,1657.63
95,35,7/2/2021,Debit,Mobile,1003,Success,0,3782.14
96,63,11/11/2020,Debit,Mobile,1018,Success,0,251.68
97,13,12/10/2023,Credit,Mobile,1012,Success,1,2028.68
98,17,1/22/2025,Debit,Web,1026,Success,0,3757.59
99,172,2/18/2024,Debit,Mobile,1010,Success,0,3189.83
100,144,7/31/2021,Debit,ATM,1005,Success,0,1016.56
101,50,1/14/2025,Credit,Mobile,1014,Success,1,4836.82
102,50,8/24/2020,Debit,Mobile,1002,Success,0,4562.72
103,42,3/24/2025,Debit,Mobile,1006,Success,0,4241.95
104,46,3/15/2023,Credit,ATM,1005,Success,1,925.95
105,115,12/30/2020,Credit,Mobile,1009,Success,1,3722.49
106,82,6/17/2020,Debit,Mobile,1002,Success,0,586.15
107,120,11/15/2020,Credit,Web,1026,Success,1,2684.46
108,24,5/31/2023,Debit,ATM,1013,Success,0,1053.11
109,171,9/13/2025,Debit,ATM,1008,Success,0,2388.92
110,177,4/2/2025,Credit,Web,1011,Success,1,1938.58
111,2,12/27/2025,Debit,Mobile,1014,Success,0,3936.13
112,39,8/25/2023,Credit,Mobile,1015,Success,1,4811.72
113,122,1/6/2022,Credit,ATM,1017,Success,1,3144.46
114,179,2/23/2025,Debit,ATM,1011,Success,0,3935.86
115,100,1/22/2022,Credit,ATM,1006,Success,1,991.35
116,154,11/19/2021,Debit,Web,1019,Success,0,1537.25
117,91,10/10/2024,Debit,ATM,1012,Success,0,4391.41
118,140,5/24/2021,Debit,Mobile,1024,Success,0,2770.29
119,98,11/13/2025,Credit,Mobile,1004,Success,1,110.0
120,127,5/23/2025,Debit,Mobile,1009,Success,0,226.02
122,59,9/21/2022,Debit,ATM,1009,Success,0,1436.02
123,190,12/3/2021,Debit,Mobile,1025,Success,0,1429.01
124,132,8/8/2023,Debit,Mobile,1009,Success,0,3258.37
125,153,1/17/2024,Credit,Mobile,1001,Success,1,4264.25
126,78,11/18/2023,Debit,Mobile,1002,Success,0,866.7
128,136,8/29/2020,Credit,Web,1011,Success,1,3381.22
129,74,11/4/2021,Debit,Mobile,1026,Success,0,2663.94
131,159,4/26/2024,Credit,Mobile,1016,Success,1,564.76
132,188,5/23/2022,Debit,Web,1023,Success,0,1079.12
133,77,9/16/2025,Debit,ATM,1005,Success,0,3104.82
134,188,5/26/2023,Debit,Mobile,1017,Success,0,2446.0
135,5,6/14/2021,Debit,Mobile,1025,Success,0,2135.28
136,166,1/22/2023,Debit,Mobile,1014,Success,0,4334.78
137,54,3/14/2021,Credit,Mobile,1020,Success,1,1486.66
138,87,10/13/2022,Credit,Web,1022,Success,1,1893.66
139,189,10/10/2025,Credit,Mobile,1014,Success,1,2876.09
140,167,3/9/2021,Debit,Web,1020,Success,0,1765.91
141,176,4/26/2023,Credit,Mobile,1009,Success,1,4023.57
142,23,10/9/2024,Credit,Mobile,1005,Success,1,2071.15
143,33,6/12/2025,Debit,Mobile,1004,Success,0,3342.5
144,85,8/7/2024,Credit,Mobile,1009,Success,1,467.6
145,75,3/7/2025,Debit,Mobile,1010,Success,0,343.07
146,191,5/4/2021,Credit,Mobile,1023,Success,1,1346.68
147,102,8/19/2024,Debit,Mobile,1011,Success,0,4126.34
148,17,10/22/2023,Credit,ATM,1019,Success,1,2912.41
149,33,1/30/2020,Debit,Mobile,1021,Success,0,4404.14
150,120,3/2/2024,Debit,Web,1023,Success,0,2472.92
151,3,3/5/2020,Debit,Mobile,1002,Success,0,1886.35
153,63,2/14/2020,Credit,ATM,1011,Success,1,2332.04
154,32,5/27/2025,Debit,Web,1017,Success,0,1333.32
155,48,9/1/2025,Debit,ATM,1003,Success,0,3148.99
156,183,11/27/2022,Credit,ATM,1025,Success,1,1123.47
157,139,3/9/2023,Debit,Web,1007,Success,0,2555.08
158,34,4/10/2020,Credit,Web,1017,Success,1,4540.4
159,187,5/30/2022,Debit,ATM,1014,Success,0,3329.69
160,119,5/12/2020,Debit,Mobile,1024,Success,0,168.96
161,134,6/29/2024,Debit,Mobile,1018,Success,0,4175.01
162,8,6/4/2025,Debit,Web,1004,Success,0,2882.8
163,74,10/26/2023,Credit,Mobile,1024,Success,1,621.47
164,120,4/16/2020,Debit,Mobile,1020,Success,0,3404.31
165,94,7/19/2025,Debit,Web,1018,Success,0,4723.16
166,55,11/13/2021,Debit,Web,1025,Success,0,231.05
167,176,12/27/2022,Credit,Mobile,1005,Success,1,359.51
168,64,11/21/2024,Credit,Mobile,1012,Success,1,3116.26
169,79,3/24/2023,Debit,Web,1002,Success,0,2245.93
170,52,4/21/2025,Debit,Mobile,1007,Success,0,3593.99
171,92,2/26/2023,Debit,ATM,1019,Success,0,756.38
172,5,3/5/2023,Credit,Mobile,1009,Success,1,50.5
174,60,9/23/2022,Debit,Web,1022,Success,0,4476.41
175,8,5/19/2023,Debit,Mobile,1016,Success,0,4857.64
176,131,7/12/2021,Debit,ATM,1013,Success,0,4071.32
177,185,5/8/2023,Debit,Web,1004,Success,0,2144.93
178,115,1/4/2025,Credit,Mobile,1013,Success,1,884.83
179,114,8/19/2020,Debit,Mobile,1025,Success,0,1617.4
180,17,2/20/2020,Credit,Mobile,1021,Success,1,4627.0
181,135,4/23/2021,Debit,Web,1000,Success,0,1740.43
182,94,6/26/2025,Debit,Mobile,1024,Success,0,3525.29
183,102,8/9/2023,Credit,Web,1026,Success,1,3211.55
184,187,7/12/2020,Debit,Mobile,1007,Success,0,4287.61
185,170,8/2/2025,Credit,Mobile,1011,Success,1,4577.42
186,106,7/17/2024,Credit,Mobile,1019,Success,1,4594.3
187,73,11/2/2021,Debit,Mobile,1013,Success,0,1698.45
188,18,6/30/2022,Debit,Mobile,1025,Success,0,4350.51
189,134,1/1/2020,Debit,Mobile,1000,Success,0,633.99
190,55,3/25/2021,Debit,Mobile,1013,Success,0,1794.63
191,56,9/22/2025,Debit,Web,1026,Success,0,3691.78
193,165,12/27/2023,Debit,Mobile,1020,Success,0,2048.62
194,151,7/6/2025,Debit,Web,1002,Success,0,1439.8
